0:0:0:0:0:0:0:1 - - [21/may./2022:15:06:02 +0200] "GET / HTTP/1.1" 200 - "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "-"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:06:02 +0200] "GET /js/out3HYJVQVO.css HTTP/1.1" 200 - "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "-"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:06:03 +0200] "GET /js/outEG4XZBCS.js HTTP/1.1" 200 - "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "-"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:06:03 +0200] "GET /api/navigation/global HTTP/1.1" 404 - "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "-"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:06:04 +0200] "GET /api/l10n/index?locale=es-ES HTTP/1.1" 200 - "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "-"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:06:04 +0200] "GET /favicon.ico HTTP/1.1" 200 5430 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "-"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:06:04 +0200] "GET /api/system/status HTTP/1.1" 200 - "http://localhost:9000/maintenance?return_to=%2F" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "-"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:06:09 +0200] "GET /api/system/status HTTP/1.1" 200 - "http://localhost:9000/maintenance?return_to=%2F" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "-"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:06:14 +0200] "GET /api/system/status HTTP/1.1" 200 - "http://localhost:9000/maintenance?return_to=%2F" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "-"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:06:20 +0200] "GET /api/system/status HTTP/1.1" 200 - "http://localhost:9000/maintenance?return_to=%2F" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "-"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:06:26 +0200] "GET /api/system/status HTTP/1.1" 200 - "http://localhost:9000/maintenance?return_to=%2F" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "-"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:06:32 +0200] "GET /api/system/status HTTP/1.1" 200 - "http://localhost:9000/maintenance?return_to=%2F" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "-"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:06:38 +0200] "GET /api/system/status HTTP/1.1" 200 - "http://localhost:9000/maintenance?return_to=%2F" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "-"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:06:44 +0200] "GET /api/system/status HTTP/1.1" 200 - "http://localhost:9000/maintenance?return_to=%2F" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmujZM+/p2edQoAAAA"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:06:48 +0200] "GET / HTTP/1.1" 200 - "http://localhost:9000/maintenance?return_to=%2F" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmujZM+/p2edQoAAAB"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:06:48 +0200] "GET /api/users/current HTTP/1.1" 401 - "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmujZM+/p2edQoAAAD"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:06:48 +0200] "GET /api/navigation/global HTTP/1.1" 401 - "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmujZM+/p2edQoAAAE"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:06:48 +0200] "GET /api/l10n/index?locale=es-ES HTTP/1.1" 200 - "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmujZM+/p2edQoAAAC"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:06:49 +0200] "GET /sessions/new?return_to=%2F HTTP/1.1" 200 - "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmujZM+/p2edQoAAAF"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:06:49 +0200] "GET /api/navigation/global HTTP/1.1" 401 - "http://localhost:9000/sessions/new?return_to=%2F" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmujZM+/p2edQoAAAG"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:06:49 +0200] "GET /api/l10n/index?locale=es-ES HTTP/1.1" 200 - "http://localhost:9000/sessions/new?return_to=%2F" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmujZM+/p2edQoAAAH"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:06:49 +0200] "GET /api/users/identity_providers HTTP/1.1" 200 - "http://localhost:9000/sessions/new?return_to=%2F" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmujZM+/p2edQoAAAI"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:18:42 +0200] "GET /sessions/new?return_to=%2F HTTP/1.1" 200 - "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmxSqP/fZi7Ge+AAAA"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:18:43 +0200] "GET /api/navigation/global HTTP/1.1" 401 - "http://localhost:9000/sessions/new?return_to=%2F" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmxSqP/fZi7Ge+AAAB"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:18:43 +0200] "GET /api/l10n/index?locale=es-ES HTTP/1.1" 200 - "http://localhost:9000/sessions/new?return_to=%2F" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmxSqP/fZi7Ge+AAAC"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:18:43 +0200] "GET /api/users/identity_providers HTTP/1.1" 200 - "http://localhost:9000/sessions/new?return_to=%2F" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmxSqP/fZi7Ge+AAAD"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:18:46 +0200] "POST /api/authentication/login HTTP/1.1" 200 - "http://localhost:9000/sessions/new?return_to=%2F" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmxSqP/fZi7Ge+AAAE"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:18:46 +0200] "GET / HTTP/1.1" 302 - "http://localhost:9000/sessions/new?return_to=%2F" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmxSqP/fZi7Ge+AAAF"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:18:46 +0200] "GET /account/reset_password HTTP/1.1" 200 - "http://localhost:9000/sessions/new?return_to=%2F" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmxSqP/fZi7Ge+AAAG"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:18:46 +0200] "GET /api/l10n/index?locale=es-ES HTTP/1.1" 200 - "http://localhost:9000/account/reset_password" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmxSqP/fZi7Ge+AAAH"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:18:46 +0200] "GET /api/users/current HTTP/1.1" 200 - "http://localhost:9000/account/reset_password" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmxSqP/fZi7Ge+AAAI"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:18:47 +0200] "GET /api/navigation/global HTTP/1.1" 200 - "http://localhost:9000/account/reset_password" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmxSqP/fZi7Ge+AAAJ"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:19:03 +0200] "POST /api/users/change_password HTTP/1.1" 204 - "http://localhost:9000/account/reset_password" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmxSqP/fZi7Ge+AAAK"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:19:03 +0200] "GET / HTTP/1.1" 200 - "http://localhost:9000/account/reset_password" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmxSqP/fZi7Ge+AAAL"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:19:03 +0200] "GET /api/users/current HTTP/1.1" 200 - "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmxSqP/fZi7Ge+AAAN"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:19:03 +0200] "GET /api/l10n/index?locale=es-ES HTTP/1.1" 200 - "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmxSqP/fZi7Ge+AAAM"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:19:04 +0200] "GET /api/navigation/global HTTP/1.1" 200 - "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmxSqP/fZi7Ge+AAAO"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:19:04 +0200] "GET /images/logo.svg?v=6.6 HTTP/1.1" 200 3507 "http://localhost:9000/projects" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmxSqP/fZi7Ge+AAAT"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:19:04 +0200] "GET /api/languages/list HTTP/1.1" 200 - "http://localhost:9000/projects" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmxSqP/fZi7Ge+AAAS"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:19:04 +0200] "GET /images/sq-sl.svg HTTP/1.1" 304 - "http://localhost:9000/projects" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmxSqP/fZi7Ge+AAAU"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:19:04 +0200] "GET /api/rules/app HTTP/1.1" 200 - "http://localhost:9000/projects" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmxSqP/fZi7Ge+AAAR"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:19:04 +0200] "GET /api/metrics/search?ps=500 HTTP/1.1" 200 - "http://localhost:9000/projects" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmxSqP/fZi7Ge+AAAQ"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:19:04 +0200] "GET /api/components/search_projects?filter=isFavorite&ps=1 HTTP/1.1" 200 - "http://localhost:9000/projects" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmxSqP/fZi7Ge+AAAV"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:19:05 +0200] "GET /api/components/search_projects?ps=1 HTTP/1.1" 200 - "http://localhost:9000/projects" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmxSqP/fZi7Ge+AAAW"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:19:05 +0200] "GET /images/alm/bitbucket.svg HTTP/1.1" 304 - "http://localhost:9000/projects/create" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmxSqP/fZi7Ge+AAAZ"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:19:05 +0200] "GET /images/alm/azure.svg HTTP/1.1" 304 - "http://localhost:9000/projects/create" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmxSqP/fZi7Ge+AAAY"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:19:05 +0200] "GET /images/alm/github.svg HTTP/1.1" 304 - "http://localhost:9000/projects/create" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmxSqP/fZi7Ge+AAAa"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:19:05 +0200] "GET /images/alm/gitlab.svg HTTP/1.1" 304 - "http://localhost:9000/projects/create" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmxSqP/fZi7Ge+AAAb"
